Band	QRG	Date	Time	Call	Rcvd Call	Correct Call	Type of Bust
15M	21044	2025-10-18	2156	W1AO	K2LC	W2LC	Off By One
20M	14000	2025-10-18	1616	KW4GF	K2M	W2M	Off By One
40M	7039	2025-10-18	1400	VE3YT	K2MF	N2MF	Off By One
20M	14036	2025-10-18	1520	W1FM	K2MF	N2MF	Off By One
40M	7299	2025-10-18	2152	KC2MBV	K2OAQ	K2OEQ	Off By One
20M	14000	2025-10-18	1439	KE0TT	K2PA	N2PA	Off By One
15M	21000	2025-10-18	1641	W9DC	K2PP	N2PP	Off By One
40M	7170	2025-10-18	1513	K1BZ	K2Q/M	W2E	Off By Two
80M	3500	2025-10-19	0126	K2EAG	K2QD	K2QB	Off By One
40M	7201	2025-10-18	1559	KO8SCA	K2QI	K2QY	Off By One
40M	7000	2025-10-18	1648	W4YE	K2QM	K2Q	Off By One
40M	7000	2025-10-18	1912	AA2ZW	K2QO/M	K2Q	Off By One
40M	7000	2025-10-18	1912	AA2ZW	K2QO/M	K2Q	Off By One
40M	7029	2025-10-18	2334	AC2FA	K2QO	K2Q	Off By One
40M	7029	2025-10-18	2334	AC2FA	K2QO	K2Q	Off By One
40M	7034	2025-10-18	1653	K2QB	K2QO	K2Q	Off By One
40M	7034	2025-10-18	1653	K2QB	K2QO	K2Q	Off By One
10M	28037	2025-10-18	1909	K2QB	K2QO	K2Q	Off By One
10M	28037	2025-10-18	1909	K2QB	K2QO	K2Q	Off By One
40M	7037	2025-10-18	2007	K2QB	K2QO	K2Q	Off By One
40M	7037	2025-10-18	2007	K2QB	K2QO	K2Q	Off By One
40M	7029	2025-10-18	2327	K2QB	K2QO	K2Q	Off By One
40M	7029	2025-10-18	2327	K2QB	K2QO	K2Q	Off By One
40M	7029	2025-10-18	2336	KB2URI	K2QO/M	K2Q	Off By One
40M	7029	2025-10-18	2336	KB2URI	K2QO/M	K2Q	Off By One
40M	7041	2025-10-18	2127	K5CM	K2QP	K2QB	Off By One
40M	7041	2025-10-18	2127	N5KW	K2QP	K2QB	Off By One
40M	7271	2025-10-18	1528	KM2O	K2QR	KQ2R	Off By One
20M	14037	2025-10-18	1823	WA5SOG	K2QT	K2QB	Off By One
20M	14040	2025-10-19	0014	N4QI	K2QZ	K2Q	Off By One
20M	14040	2025-10-19	0014	N4QI	K2QZ	K2Q	Off By One
80M	3543	2025-10-19	0103	K0TRL	K2RC	N2RC	Off By One
40M	7000	2025-10-18	2154	K2RSK	K2RUM	K4RUM	Off By One
20M	14000	2025-10-18	1552	KM8L	K2RUM	K4RUM	Off By One
40M	7231	2025-10-18	1406	AD2TM	K2SG	KS2G	Off By One
20M	14261	2025-10-18	1821	KE2FLW	K2SG	KS2G	Off By One
40M	7000	2025-10-18	1427	N1GBE	K2SG	KS2G	Off By One
40M	7226	2025-10-18	1617	N2PQJ	K2SG	KS2G	Off By One
40M	7000	2025-10-18	1524	W1WV	K2SG	KS2G	Off By One
80M	3813	2025-10-19	0148	AB2FN	K2SID	K0SID	Off By One
20M	14041	2025-10-18	1608	N6CHU	K2SIS	K2SSS	Off By One
20M	14040	2025-10-18	1530	K4GSX	K2SSH	K2SSS	Off By One
40M	7214	2025-10-18	1518	WA2JQK	K2STD	K0SID	Off By Two
40M	7038	2025-10-18	1828	K2DBK	K2T	N2T	Off By One
20M	14200	2025-10-18	1811	KB4CG	K2T	N2T	Off By One
20M	14038	2025-10-18	1404	KR4AE	K2T	N2T	Off By One
40M	7038	2025-10-18	2115	KR4AE	K2T	K2Q	Off By One
40M	7038	2025-10-18	2118	KR4AE	K2T	N2T	Off By One
20M	14038	2025-10-18	2216	KR4AE	K2T	N2T	Off By One
20M	14038	2025-10-18	1818	W8HCG	K2T	N2T	Off By One
20M	14038	2025-10-18	1623	WA0LIF	K2T	N2T	Off By One
40M	7041	2025-10-18	1526	WB2WPM	K2TZ	K2XA	Off By Two
40M	7038	2025-10-18	2355	K2XA	K2URI	KB2URI	Off By One
40M	7038	2025-10-18	2324	K0TRL	K2V/ONE	K2A	Off By One
15M	21000	2025-10-18	2238	NY9P	K2VG	K2EAG	Off By Two
20M	14200	2025-10-18	2022	N8II	K2XG	K2EAG	Off By Two
40M	7241	2025-10-18	1520	N2RC	K2XR	KQ2R	Off By Two
40M	7031	2025-10-18	1837	K2MV	K2Y	K2Q	Off By One
40M	7031	2025-10-18	1837	K2MV	K2Y	K2Q	Off By One
40M	7181	2025-10-18	1641	K2OEQ	K2Y	K2QY	Off By One
40M	7196	2025-10-18	2108	K2YG	K2Y	N2Y	Off By One
40M	7196	2025-10-18	2108	K2YG	K2Y	N2Y	Off By One
40M	7000	2025-10-18	1437	AA2ZW	K2YGNJ	K2YG	Off By Two
40M	7000	2025-10-18	1405	N8II	K2ZK	K2QB	Off By Two
80M	3547	2025-10-18	2350	VA3KRJ	K3EHH/2	K3GHH	Off By One
40M	7038	2025-10-18	1426	KM2O	K3GH/2	K3GHH	Off By One
40M	7043	2025-10-18	2248	N2Y	K3GH/2	K3GHH	Off By One
40M	7043	2025-10-18	2248	N2Y	K3GH/2	K3GHH	Off By One
80M	3660	2025-10-18	2353	W4YE	K3GH	K3GHH	Off By One
80M	3542	2025-10-18	2311	K2QB	K3GHS	K3GHH	Off By One
40M	7000	2025-10-18	2051	W1WV	K3GHS/2	K3GHH	Off By One
80M	3543	2025-10-18	2313	W2FU	K3GHS/2	K3GHH	Off By One
40M	7000	2025-10-18	1411	WB2JLR	K3GHS/2	K3GHH	Off By One
40M	7034	2025-10-18	1554	WW2J	K3GHS/2	K3GHH	Off By One
20M	14039	2025-10-18	1516	N6CHU	K3GSH/2	K3GHH	Off By One
20M	14039	2025-10-18	1510	W4LEW	K3HHG/2	K3GHH	Off By Two
40M	7037	2025-10-18	2208	KV2X	K3JT	N3JT	Off By One
40M	7037	2025-10-18	2208	KV2X	K3JT	N3JT	Off By One
20M	14034	2025-10-18	2310	N2CU	K3OP	K3QP	Off By One
20M	14034	2025-10-18	2310	N2CU	K3OP	K3QP	Off By One
80M	3535	2025-10-19	0145	N2GA	K3ORC	K0RC	Off By Two
80M	3535	2025-10-19	0054	N2GA	K3QA	K7QA	Off By One
40M	7000	2025-10-18	1449	NQ2W	K3QHH	K3GHH	Off By One
40M	7271	2025-10-18	1551	AB2FN	K3RSS	K3RJS	Off By One
20M	14222	2025-10-18	1451	KE2FLW	K3US	W3US	Off By One
15M	21042	2025-10-18	2046	K4RUM	K4EA	KE4EA	Off By One
20M	14047	2025-10-18	1917	KO8SCA	K4FR	K4DR	Off By One
20M	14039	2025-10-18	2012	K2A	K4GSK	K4GSX	Off By One
40M	7179	2025-10-18	1951	WB2AMN	K4IAJ	KM4IAJ	Off By One
15M	21046	2025-10-18	1721	N2RC	K4KQ	K5QQ	Off By Two
40M	7000	2025-10-19	0016	W2OW	K4KSZ	K4SBZ	Off By Two
40M	7039	2025-10-18	2122	K2ZR	K4KYM	K4KYN	Off By One
20M	14035	2025-10-18	1546	N6YU	K4LUM	K4RUM	Off By One
20M	14340	2025-10-18	2146	K2IW	K4QQJ	K4QQG	Off By One
20M	14048	2025-10-18	1758	K5YX	K4RU	K4RUM	Off By One
20M	14048	2025-10-18	1807	W0DET	K4RU	K4RUM	Off By One
40M	7032	2025-10-18	1459	AA1NK	K4RUF	K4RUM	Off By One
20M	14025	2025-10-18	2006	AA2ZW	K4SBS	K4SBZ	Off By One
20M	14000	2025-10-18	1731	W2DXE	K5CN	K5CM	Off By One
15M	21055	2025-10-18	2136	WT2X	K5CO	K5CM	Off By One
40M	7044	2025-10-19	0100	WB2WPM	K5KQ	K5QQ	Off By One
80M	3527	2025-10-19	0018	N2Y	K5KW	K5CM	Off By Two
80M	3527	2025-10-19	0018	N2Y	K5KW	K5CM	Off By Two
40M	7039	2025-10-18	2148	K2ZR	K5MI	K5ME	Off By One
40M	7039	2025-10-18	1419	N2MF	K5QE	K5QQ	Off By One
20M	14000	2025-10-18	1644	W2DXE	K5QG	K5QQ	Off By One
40M	7040	2025-10-18	1420	K2NV	K5QK	K5QQ	Off By One
20M	14047	2025-10-18	2047	N2GA	K5TE	K5ME	Off By One
40M	7000	2025-10-18	1415	AA2ZW	K5XM	K5CM	Off By One
20M	14037	2025-10-18	2146	N2PA	K6VCG	KB4CG	Off By Two
20M	14041	2025-10-18	1925	K2SSS	K7EPD	N7EPD	Off By One
20M	14037	2025-10-18	1714	KV2X	K8GT	K8ZT	Off By One
20M	14000	2025-10-18	1415	N3ARB	K8HCG	W8HCG	Off By One
40M	7000	2025-10-18	1729	WA2GOT	K8MI	K8MR	Off By One
80M	3500	2025-10-19	0004	W2OW	K8NW	K9NW	Off By One
20M	14247	2025-10-18	2131	KX2NY	K8PI	W8PI	Off By One
