Band	QRG	Date	Time	Call	Rcvd Call	Correct Call	Type of Bust
40M	7000	2025-10-19	0050	N2OIG	N2NU	K2NV	Off By Two
20M	14044	2025-10-18	2217	N5OHL	N2NV	K2NV	Off By One
40M	7041	2025-10-19	0032	N5OHL	N2NV	K2NV	Off By One
80M	3660	2025-10-19	0128	W4YE	N2NV	K2NV	Off By One
20M	14054	2025-10-18	1515	NE4S	N2NY	N2Y	Off By One
40M	7000	2025-10-18	2055	AA2ZW	N2PFT	N2PTF	Off By One
40M	7239	2025-10-18	2309	KC1UKO	N2PQL	N2PQJ	Off By One
40M	7267	2025-10-18	1437	W4WWQ	N2PTC	K2PTC	Off By One
80M	3925	2025-10-18	2214	WA3AFS	N2QU	NQ2U	Off By One
80M	3500	2025-10-18	2256	WB2KLD	N2QU	NQ2U	Off By One
40M	7000	2025-10-18	2113	N3KI	N2QW	NQ2W	Off By One
20M	14000	2025-10-18	1613	KW4GF	N2QX	N2ZX	Off By One
80M	3826	2025-10-19	0056	KS2G	N2QXC	N3QXC	Off By One
20M	14037	2025-10-18	2121	WA1FMM	N2REA	N2PA	Off By Two
20M	14000	2025-10-18	1418	N8MD	N2STW	N2SQW	Off By One
40M	7255	2025-10-18	1944	KM2O	N2SWQ	N2SQW	Off By One
20M	14038	2025-10-18	1824	KD5J	N2THR	N2T	Off By Two
20M	14038	2025-10-18	1733	AA3R	N2TM	N2T	Off By One
40M	7000	2025-10-18	2019	K1VUT	N2TN	N2T	Off By One
80M	3538	2025-10-18	2327	WA2CHV	N2TST	N2T	Off By Two
40M	7038	2025-10-19	0048	KA0PQW	N2TYW	N2T	Off By Two
20M	14000	2025-10-18	2039	K2RSK	N2TZ	N2T	Off By One
40M	7033	2025-10-18	2338	KY0Q	N2UM	N2CU	Off By Two
40M	7033	2025-10-18	2338	KY0Q	N2UM	N2CU	Off By Two
20M	14037	2025-10-18	2242	KX2NY	N2V/LEW	K2V	Off By One
40M	7032	2025-10-19	0120	K0TRL	N2WP	N2PP	Off By One
40M	7000	2025-10-18	1757	N3GTH	N2XA	K2XA	Off By One
40M	7225	2025-10-18	1737	N2Y	N2XE	N8QE	Off By Two
20M	14034	2025-10-18	1631	AA4TI	N2XU/M	N2CU	Off By One
20M	14034	2025-10-18	1632	AA4TI	N2XU/M	N2CU	Off By One
40M	7000	2025-10-18	1407	N1GBE	N2YH	N2PYH	Off By One
20M	14049	2025-10-18	1730	K4KYN	N2Z	N2ZX	Off By One
80M	3535	2025-10-18	2308	KN3A	N2ZA	N2GA	Off By One
40M	7039	2025-10-18	1508	W8PI	N2ZC	N2ZX	Off By One
80M	3500	2025-10-18	2347	W2DXE	N2ZK	N2ZX	Off By One
40M	7032	2025-10-19	0058	AA3R	N2ZW	N2MF	Off By Two
40M	7032	2025-10-19	0049	WB2WPM	N2ZW	N2MF	Off By Two
40M	7107	2025-10-18	1640	K2TV	N2ZY	N2ZX	Off By One
40M	7033	2025-10-18	1816	K4FTO	N2ZZX	N2ZX	Off By One
20M	14000	2025-10-18	1427	WA9YI	N3ABR	N3ARB	Off By One
80M	3549	2025-10-19	0037	K2XA	N3AW	N3IW	Off By One
80M	3540	2025-10-19	0004	W2TZ	N3DM	N2DM	Off By One
80M	3547	2025-10-19	0002	N1NQD	N3GHH/2	K3GHH	Off By One
80M	3534	2025-10-19	0114	WA2QAU	N3IP	N3IW	Off By One
40M	7044	2025-10-18	1550	K2G	N3K	N3KI	Off By One
40M	7044	2025-10-18	1550	K2G	N3K	N3KI	Off By One
40M	7034	2025-10-18	1441	WW2Y	N3QJ	N3GJ	Off By One
20M	14245	2025-10-18	2242	W2PJ	N3QZC	N3QXC	Off By One
80M	3540	2025-10-19	0125	K2NV	N4B	N2B	Off By One
10M	28040	2025-10-18	1743	WA2CP	N4DWM	N4DPM	Off By One
40M	7034	2025-10-18	2104	WA2QAU	N4EP	N4EMP	Off By One
20M	14035	2025-10-18	1800	WA2QAU	N4EWP	N4EMP	Off By One
40M	7000	2025-10-18	2247	N2TO	N4LEW	W4LEW	Off By One
10M	28000	2025-10-18	1857	K2EAG	N5CM	K5CM	Off By One
20M	14046	2025-10-18	1756	K2IZ	N5NZ	N5RZ	Off By One
20M	14037	2025-10-18	2253	K2V	N5NZ	N5RZ	Off By One
80M	3845	2025-10-19	0143	KE2X	N5QW	N5KW	Off By One
20M	14057	2025-10-18	1526	KC2KY	N6CDU/7	N6CHU	Off By One
20M	14038	2025-10-19	0001	N2T	N6MU	N6YU	Off By One
20M	14042	2025-10-18	2305	NN2L	N6QU	N6YU	Off By One
20M	14044	2025-10-18	2305	K2XA	N6YS	N6YU	Off By One
15M	21056	2025-10-18	1636	N2Y	N7II	N8II	Off By One
15M	21056	2025-10-18	1636	N2Y	N7II	N8II	Off By One
40M	7031	2025-10-19	0044	K2ZR	N7IN	N7IR	Off By One
15M	21366	2025-10-18	2138	W2FU	N7OME	N7AME	Off By One
15M	21237	2025-10-18	1824	K4SBZ	N7Y	N2Y	Off By One
80M	3532	2025-10-19	0132	NJ1F	N8NA	N8DNA	Off By One
20M	14037	2025-10-18	1821	KV2X	N8P	NE8P	Off By One
80M	3547	2025-10-18	2219	N2PA	N9CW	K9CW	Off By One
20M	14046	2025-10-18	1743	K2IZ	N9LY	N0LY	Off By One
40M	7036	2025-10-18	1423	WB2AMN	N9LY	N0LY	Off By One
80M	3531	2025-10-19	0023	K2SSS	N9MI	N9MS	Off By One
80M	3542	2025-10-18	2226	K2XA	N9MI	N9MS	Off By One
80M	3549	2025-10-18	2234	KM2L	N9MI	N9MS	Off By One
80M	3536	2025-10-18	2230	KR2AA	N9MI	N9MS	Off By One
80M	3547	2025-10-18	2232	N2PA	N9MI	N9MS	Off By One
40M	7041	2025-10-18	1416	N2PP	N9MI	N9MS	Off By One
40M	7045	2025-10-18	1408	N2ZX	N9MI	N9MS	Off By One
80M	3540	2025-10-18	2227	N2ZX	N9MI	N9MS	Off By One
40M	7037	2025-10-18	1422	W2FU	N9MI	N9MS	Off By One
40M	7032	2025-10-18	1411	W2TB	N9MI	N9MS	Off By One
80M	3541	2025-10-18	2236	W2TB	N9MI	N9MS	Off By One
40M	7035	2025-10-18	2141	K2HYD	NA2A	NM2A	Off By One
40M	7037	2025-10-18	2012	KV2X	NA3AFS	WA3AFS	Off By One
40M	7043	2025-10-18	1432	WW2Y	NA8W	NI8W	Off By One
40M	7000	2025-10-18	1735	N2PEQ	NB2SIH	WB2SIH	Off By One
20M	14041	2025-10-18	1605	N2ZX	NE3JT	N3JT	Off By One
40M	7044	2025-10-18	2137	WA2CP	NE4H	NE4S	Off By One
40M	7043	2025-10-18	1427	WW2Y	NE4H	NE4S	Off By One
20M	14037	2025-10-18	1642	NJ1F	NE7P	NE8P	Off By One
40M	7234	2025-10-18	1547	WA2DNI	NF2VX	KF2VX	Off By One
40M	7000	2025-10-18	1740	W2OW	NG2G	NG2P	Off By One
40M	7037	2025-10-18	1956	KV2X	NG2W	NQ2W	Off By One
40M	7036	2025-10-18	1424	WB2AMN	NI8J	NI8W	Off By One
80M	3532	2025-10-19	0141	WQ6X	NJ1R	NJ1F	Off By One
40M	7053	2025-10-18	1956	N2Y	NM1A	NM2A	Off By One
40M	7053	2025-10-18	1956	N2Y	NM1A	NM2A	Off By One
40M	7037	2025-10-18	1512	KV2X	NM2K	NN2K	Off By One
80M	3807	2025-10-19	0109	K2XA	NN2KW	NN2K	Off By One
80M	3500	2025-10-19	0041	K0UU	NN2R	NN2L	Off By One
40M	7029	2025-10-19	0032	N2GA	NN8B	NX9B	Off By Two
80M	3500	2025-10-19	0138	AA2ZW	NO2A	NM2A	Off By One
80M	3500	2025-10-19	0118	N8DNA	NQ2V	NQ2W	Off By One
40M	7030	2025-10-18	1434	N2MF	NQ3W	NQ2W	Off By One
40M	7000	2025-10-18	2207	W2QCY	NU2T	N2T	Off By One
40M	7036	2025-10-18	1439	WB2AMN	NX1K	NJ1F	Off By Two
20M	14054	2025-10-18	1517	N2MF	NY2	N2Y	Off By One
20M	14054	2025-10-18	1517	N2MF	NY2	N2Y	Off By One
20M	14040	2025-10-18	2013	W6UB	NY2PP	N2PP	Off By One
40M	7034	2025-10-18	1416	K4FTO	NY2SSS	K2SSS	Off By Two
40M	7000	2025-10-18	2158	AA2ZW	OM2UL	OM2VL	Off By One
40M	7037	2025-10-18	2110	N2B	OM2VLL	OM2VL	Off By One
15M	21280	2025-10-18	1833	KE2CWJ	OM3VL	OM2VL	Off By One
10M	28043	2025-10-18	1758	KE2SD	OM3VL	OM2VL	Off By One
20M	14000	2025-10-18	1649	N2TO	OM3VL	OM2VL	Off By One
40M	7187	2025-10-18	1757	W2FU	RN9DEK	N9DEK	Off By One
40M	7047	2025-10-18	1457	W2VM	NJ1F/S	NJ1F	Off By Two
40M	7214	2025-10-18	1433	WA2JQK	VA3YT	VE3YT	Off By One
80M	3804	2025-10-18	2332	W2NTV	VE1GO	VE1RGO	Off By One
40M	7207	2025-10-18	2010	WW2Y	VE1RCO	VE1RGO	Off By One
40M	7196	2025-10-18	2121	N2Y	VE2JT	VE2GT	Off By One
40M	7196	2025-10-18	2121	N2Y	VE2JT	VE2GT	Off By One
40M	7000	2025-10-18	2157	AA2ZW	VE2MV	VE3MV	Off By One
40M	7229	2025-10-18	2317	W2CCC	VE2SKLW	VE2KLW	Off By One
40M	7000	2025-10-18	1701	N2PEQ	VE3IST	VE3IFT	Off By One
40M	7042	2025-10-18	1504	W2M	VE3KI	N3KI	Off By Two
40M	7038	2025-10-18	2320	K2V	VE3MV	VE3OMV	Off By One
80M	3535	2025-10-19	0048	N2GA	VE3NDX	VE3MDX	Off By One
20M	14039	2025-10-18	1823	KM2L	VE3NMN	VE3NFN	Off By One
40M	7038	2025-10-18	1654	N2T	VE3SSF	VE3SIF	Off By One
40M	7038	2025-10-18	1801	N2T	VE3SSF	VE3SIF	Off By One
40M	7038	2025-10-18	2312	N2T	VE3SSF	VE3SIF	Off By One
40M	7000	2025-10-18	1416	W2E	VE3WE	VE3WG	Off By One
40M	7000	2025-10-18	1833	W2HMT	VE3WS	VE3WG	Off By One
15M	21037	2025-10-18	2054	K2SSS	VE4YT	VE3YT	Off By One
20M	14000	2025-10-18	1611	K2EAG	W04O	WO4O	Off By One
15M	21000	2025-10-18	1818	K2EAG	W0DM	W0BM	Off By One
20M	14000	2025-10-18	1632	K2EAG	W0GQ	W0ZQ	Off By One
40M	7208	2025-10-18	2332	WA2DNI	W0TRL	K0TRL	Off By One
20M	14258	2025-10-18	1406	W2PJ	W0WELT	W0ELT	Off By One
20M	14025	2025-10-18	1523	W2KYM	W1AW	W1AJT	Off By Two
20M	14041	2025-10-18	1528	K2SSS	W1BZ	K1BZ	Off By One
40M	7035	2025-10-18	2203	WW2Y	W1CEO	N1CEO	Off By One
40M	7000	2025-10-18	1451	W2IG	W1F	W1FM	Off By One
40M	7000	2025-10-18	1451	W2IG	W1F	W1FM	Off By One
40M	7214	2025-10-18	1708	WA2JQK	W1MF	W1FM	Off By One
20M	14039	2025-10-18	1416	K2A	W1SEM	W1FM	Off By Two
40M	7226	2025-10-18	1416	NN2L	W1WM/M	W1WV	Off By One
40M	7000	2025-10-18	1542	KM8L	W20W	W2OW	Off By One
10M	28000	2025-10-18	2209	WD0BRP	W20W	W2OW	Off By One
40M	7275	2025-10-18	2017	WA3AFS	W21G	W2IG	Off By One
40M	7275	2025-10-18	2017	WA3AFS	W21G	W2IG	Off By One
15M	21285	2025-10-18	1814	AJ4HP	W2CC	W2CCC	Off By One
20M	14312	2025-10-18	1651	KD9MGZ	W2CO	W2SO	Off By One
20M	14247	2025-10-18	2146	K4SBZ	W2CU	N2CU	Off By One
20M	14000	2025-10-18	2105	NY9P	W2CU/M	N2CU	Off By One
20M	14000	2025-10-18	2105	NY9P	W2CU/M	N2CU	Off By One
40M	7039	2025-10-18	1901	K2YG	W2DKE	W2DXE	Off By One
40M	7174	2025-10-18	1936	AC3MR	W2DNI	WA2DNI	Off By One
20M	14251	2025-10-18	1441	WO4O	W2DQ	W2AN	Off By Two
40M	7000	2025-10-18	2214	VA3FN	W2DX	W2DXE	Off By One
40M	7125	2025-10-18	1428	WB2JLR	W2EW	W2E	Off By One
80M	3500	2025-10-18	2304	W2DXE	W2F	W2FU	Off By One
40M	7044	2025-10-18	1858	VE3JZT	W2FA	W2FU	Off By One
40M	7187	2025-10-18	1729	N8QE	W2FI	W2FU	Off By One
15M	21000	2025-10-18	1901	AC2N	W2FY	W2FU	Off By One
40M	7214	2025-10-18	1404	WA2JQK	W2GCT	W2JCT	Off By One
20M	14045	2025-10-18	1939	WA0LIF	W2IZ	K2IZ	Off By One
40M	7241	2025-10-18	1741	AB3CX	W2JKT	W2JCT	Off By One
40M	7212	2025-10-18	1739	WW2Y	W2KV	W2E	Off By Two
40M	7039	2025-10-18	1404	W9QL	W2MF	N2MF	Off By One
40M	7000	2025-10-18	1739	N2PEQ	W2NCV	W2NTV	Off By One
80M	3541	2025-10-18	2252	WW2Y	W2NO	W1AO	Off By Two
40M	7231	2025-10-18	1738	AB3CX	W2NYC	W2NYW	Off By One
40M	7125	2025-10-18	2001	WB2JLR	W2OS	W2OW	Off By One
40M	7037	2025-10-18	1745	K4KYN	W2PA	N2PA	Off By One
40M	7250	2025-10-18	2114	WA3AFS	W2PA	N2PA	Off By One
40M	7000	2025-10-18	1512	N8II	W2QCK	W2QCY	Off By One
15M	21034	2025-10-18	1739	N2MF	W2RQ	W2TZ	Off By Two
80M	3538	2025-10-19	0153	N2T	W2RQ	K2Q	Off By Two
15M	21039	2025-10-18	1737	K2ZR	W2RU	W2FU	Off By One
20M	14000	2025-10-18	1425	W7KAM	W2SIH	WB2SIH	Off By One
20M	14000	2025-10-18	1942	F8PDR	W2SSS	K2SSS	Off By One
40M	7036	2025-10-18	1858	KE1IH	W2SSS	K2SSS	Off By One
40M	7036	2025-10-18	1901	N2GA	W2SSS	K2SSS	Off By One
40M	7034	2025-10-18	1538	NN2L	W2SSS	K2SSS	Off By One
40M	7036	2025-10-18	1909	WK2H	W2SSS	K2SSS	Off By One
40M	7245	2025-10-18	1454	W1SSN	W2TB	W2IG	Off By Two
40M	7245	2025-10-18	1454	W1SSN	W2TB	W2IG	Off By Two
20M	14000	2025-10-18	1620	KW4GF	W2TJ	W2PJ	Off By One
20M	14041	2025-10-18	2050	N2ZX	W2TZ	W2TB	Off By One
80M	3500	2025-10-19	0147	AA2ZW	W2US	W3US	Off By One
80M	3500	2025-10-18	2202	KA2FIR	W2XA	K2XA	Off By One
40M	7034	2025-10-18	1446	N2MF	W2Y	WW2Y	Off By One
40M	7217	2025-10-18	2001	WA2CHV	W2Y	WW2Y	Off By One
40M	7000	2025-10-18	1836	KA8TOA	W3NYW	W2NYW	Off By One
20M	14000	2025-10-18	2200	N7AME	W3SO	W2SO	Off By One
40M	7039	2025-10-19	0125	W2TB	W3UST	W3US	Off By One
20M	14037	2025-10-18	1833	KV2X	W3UX	W3US	Off By One
20M	14200	2025-10-18	2138	WA2JQK	W4TAA	W4TTA	Off By One
20M	14037	2025-10-18	1836	KV2X	W4TM	W5TM	Off By One
40M	7246	2025-10-18	1539	W1WV	W4WNQ	W4WWQ	Off By One
80M	3531	2025-10-19	0122	KX2NY	W5KW	N5KW	Off By One
20M	14037	2025-10-18	1437	W2TZ	W5TMU	W5TM	Off By One
15M	21038	2025-10-18	2026	KX2NY	W6UD	W6UB	Off By One
20M	14247	2025-10-18	2129	KX2NY	W7KGM	W7KAM	Off By One
20M	14039	2025-10-18	1932	WW2Y	W7PF	W7GF	Off By One
80M	3548	2025-10-19	0156	W2FU	W7RG	W7LG	Off By One
40M	7271	2025-10-18	1626	AB2FN	W8HCJ	W8HCG	Off By One
40M	7037	2025-10-18	1626	KV2X	W8II	N8II	Off By One
40M	7228	2025-10-18	1533	WA3AFS	W8II	N8II	Off By One
80M	3833	2025-10-19	0141	WA3AFS	W8II	N8II	Off By One
40M	7036	2025-10-19	0019	KX2NY	W8KRQ	W8KRZ	Off By One
40M	7032	2025-10-18	2035	WW2Y	W8LG	W7LG	Off By One
40M	7000	2025-10-18	1822	W2E	W8NVD	W8NUD	Off By One
40M	7050	2025-10-18	1456	N2GA	W8PA	W8PI	Off By One
40M	7038	2025-10-18	2321	K2V	W8SCG	W8HCG	Off By One
80M	3541	2025-10-18	2355	K2V	W8SCG	W8HCG	Off By One
80M	3541	2025-10-19	0159	K2V	W8SCG	W8HCG	Off By One
80M	3500	2025-10-18	2318	W2DXE	W8SCG	W8HCG	Off By One
80M	3535	2025-10-18	2338	N2GA	W8WI	W8PI	Off By One
15M	21238	2025-10-18	1842	N2Y	W8ZBT	WA8ZBT	Off By One
15M	21238	2025-10-18	1842	N2Y	W8ZBT	WA8ZBT	Off By One
20M	14150	2025-10-18	1602	WB2JLR	W9AO	W9ARO	Off By One
20M	14045	2025-10-18	2050	K2XA	W9OL	W9QL	Off By One
40M	7177	2025-10-18	2257	KD2EFR	W9OTCV	W9TCV	Off By One
40M	7177	2025-10-18	2257	KD2EFR	W9OTCV	W9TCV	Off By One
80M	3775	2025-10-18	2353	N2PA	W9TVC	W9TCV	Off By One
80M	3775	2025-10-18	2353	N2PA	W9TVC	W9TCV	Off By One
40M	7038	2025-10-18	2352	K2XA	WA0MSJ	WA0MHJ	Off By One
80M	3540	2025-10-19	0031	NM2A	WA0MSJ	WA0MHJ	Off By One
40M	7026	2025-10-18	1426	KE2AIZ	WA1R	AA3R	Off By Two
40M	7239	2025-10-18	1851	N1JP	WA2AFS	WA3AFS	Off By One
40M	7198	2025-10-18	1652	W2M	WA2AFS	WA3AFS	Off By One
40M	7037	2025-10-18	1629	KV2X	WA2AIV	WB2AIV	Off By One
40M	7036	2025-10-18	1418	K2ZR	WA2AMN	WB2AMN	Off By One
15M	21000	2025-10-18	1848	K6KQV	WA2AMN	WB2AMN	Off By One
40M	7208	2025-10-18	1947	VE3IFT	WA2CHP	WA2CHV	Off By One
80M	3545	2025-10-19	0114	AC2FA	WA2CPE	WA2CP	Off By One
15M	21344	2025-10-18	1723	KA0PQW	WA2DNE	WA2DNI	Off By One
20M	14050	2025-10-18	2148	W2QL	WA2FMM	WA1FMM	Off By One
40M	7000	2025-10-18	2348	WA2GOT	WA2JAK	WA2JQK	Off By One
40M	7000	2025-10-18	1524	W2IG	WA2JKQ	WA2JQK	Off By One
40M	7000	2025-10-18	1524	W2IG	WA2JKQ	WA2JQK	Off By One
40M	7232	2025-10-18	1804	N4ZQA	WA2JQJ	WA2JQK	Off By One
40M	7044	2025-10-18	2345	WB2AMN	WA2LMF	WA2LMC	Off By One
40M	7034	2025-10-18	2028	WA2QAU	WA2LQR	WA2LMC	Off By Two
80M	3548	2025-10-18	2312	N1CEO	WA2N	WA2NYY	Off By Two
10M	28000	2025-10-18	1715	WA2JQK	WA2NNY	WA2NYY	Off By One
20M	14031	2025-10-18	2149	KF3G	WA2P	WW2P	Off By One
15M	21000	2025-10-18	1919	AC2N	WA2QAY	WA2QAU	Off By One
20M	14280	2025-10-18	1943	WA2LMC	WA2QEU	WA2QAU	Off By One
80M	3500	2025-10-19	0010	KB1RVU	WA2QUA	WA2QAU	Off By One
40M	7037	2025-10-18	1628	KM2L	WA2QUA	WA2QAU	Off By One
15M	21000	2025-10-18	1425	NY9P	WA2QUA	WA2QAU	Off By One
40M	7197	2025-10-18	1829	VE3JZT	WA2QUA	WA2QAU	Off By One
40M	7214	2025-10-18	1615	WA2JQK	WA2QUA	WA2QAU	Off By One
80M	3500	2025-10-18	2320	AA2ZW	WA2RMC	WA2LMC	Off By One
80M	3541	2025-10-18	2259	K2AL	WA2Y	WW2Y	Off By One
80M	3541	2025-10-18	2214	K2QB	WA2Y	WW2Y	Off By One
40M	7038	2025-10-18	1948	K4KYN	WA2Y	WW2Y	Off By One
40M	7000	2025-10-18	1942	KD2YMM	WA2Y	WW2Y	Off By One
40M	7038	2025-10-18	1944	W9QL	WA2Y	WW2Y	Off By One
20M	14032	2025-10-18	2108	WA1FMM	WA2ZW	AA2ZW	Off By One
40M	7125	2025-10-18	1909	N3KTA	WA3GAT	WA2GOT	Off By Two
20M	14037	2025-10-18	1635	NJ1F	WA5HOG	WA5SOG	Off By One
20M	14288	2025-10-18	1406	N2SQW	WA8YI	WA9YI	Off By One
20M	14046	2025-10-18	1508	KE2AIZ	WB0CWB	WB0CJB	Off By One
40M	7203	2025-10-18	1544	VE3WG	WB2AAMN	WB2AMN	Off By One
80M	3547	2025-10-19	0114	WB2NVR	WB2AMT	WB2AMN	Off By One
40M	7251	2025-10-18	1707	W2NYW	WB2ANM	WB2AMN	Off By One
40M	7037	2025-10-18	1942	KV2X	WB2FVE	WB2FUE	Off By One
20M	14034	2025-10-18	1541	KM2L	WB2NHR	WB2NVR	Off By One
40M	7036	2025-10-18	1449	WB2AMN	WB2PWS	WB2PJH	Off By Two
20M	14034	2025-10-18	1924	W0PI	WB2SIS	WB2SIH	Off By One
40M	7000	2025-10-18	1836	W2OW	WB2SIS	WB2SIH	Off By One
15M	21285	2025-10-18	1818	K0VBU	WB2SLR	WB2JLR	Off By One
20M	14000	2025-10-18	1535	W9DC	WB2SST	WB2SIH	Off By Two
15M	21040	2025-10-18	1448	WA2QAU	WB2WPU	WB2WPM	Off By One
20M	14242	2025-10-18	1637	W2NY	WB8HFK	WB9HFK	Off By One
20M	14042	2025-10-18	1409	W2M	WB8RYC	WD8RYC	Off By One
20M	14037	2025-10-18	1713	KV2X	WB9CJB	WB0CJB	Off By One
40M	7195	2025-10-18	1555	K1BZ	WC2XC	AC2XC	Off By One
80M	3500	2025-10-19	0050	VE2KLW	WD2GDJ	W2GDJ	Off By One
20M	14000	2025-10-18	2023	K2EAG	WD8ASI	WB8ASI	Off By One
40M	7000	2025-10-18	1811	W2E	WE2QA	WA2QAU	Off By Two
40M	7031	2025-10-18	1433	K2ZR	WJ2Y	WW2Y	Off By One
40M	7024	2025-10-18	2345	KO8SCA	WK2G	K2Q	Off By Two
20M	14236	2025-10-18	2007	W2CCC	WK9JK	K9JK	Off By One
80M	3500	2025-10-19	0049	NN7A	WM2A	NM2A	Off By One
80M	3500	2025-10-19	0106	K0UU	WM2Y	WW2Y	Off By One
80M	3535	2025-10-19	0143	N2GA	WM3X	WQ6X	Off By Two
40M	7226	2025-10-18	1608	KS2G	WO2W	W2OW	Off By One
40M	7230	2025-10-18	1719	W2NYW	WP2SIH	WB2SIH	Off By One
20M	14000	2025-10-18	1450	W2SO	WT8OJR	WA8OJR	Off By One
40M	7000	2025-10-18	1404	K3GHH	WW1Y	WW2Y	Off By One
40M	7262	2025-10-18	1738	KE2ELL	WW2J	WW2Y	Off By One
40M	7271	2025-10-18	1959	AB2FN	WW2V	WW2Y	Off By One
40M	7208	2025-10-18	2012	KD2KEH	WW3Y	WW2Y	Off By One
40M	7208	2025-10-18	2015	KE2CWJ	WW3Y	WW2Y	Off By One
40M	7208	2025-10-18	2006	KE4EA	WW3Y	WW2Y	Off By One
80M	3828	2025-10-19	0040	N9MS	WW3Y	WW2Y	Off By One
40M	7208	2025-10-18	2009	W2NTV	WW3Y	WW2Y	Off By One
40M	7000	2025-10-18	1533	W2QCY	WX2NY	KX2NY	Off By One
80M	3539	2025-10-18	2343	K2A	WX8C	W9DC	Off By Two
15M	21038	2025-10-18	2035	W2TZ	XE1AC	XE1AY	Off By One
40M	7035	2025-10-19	0037	W2TZ	XE1AC	XE1AY	Off By One
40M	7036	2025-10-19	0102	N2ZX	XE1ANM	XE1AY	Off By Two
20M	14037	2025-10-18	1659	KV2X	ZM2VI	OM2VL	Off By Two
